,메뉴,가격
88,시골제육 두부강된장 비빔밥,"5,400"
89,참치야채 감초고추장 비빔밥,"3,700"
90,튼튼도시락,"5,200"
91,빅새치마요,"4,700"
92,새치마요,"4,100"
93,메가스팸마요,"5,900"
94,스팸마요,"4,000"
95,메가치킨마요,"6,200"
96,왕치킨마요,"5,100"
97,빅치킨마요,"4,400"
98,치킨마요,"3,800"
99,참치마요,"3,600"
100,돈치마요,"4,100"
101,돈까스 카레,"4,800"
102,잡채볶음밥(중화풍 매운맛),"5,500"
103,잡채볶음밥(오리지널),"5,300"
104,스팸 김치볶음밥,"4,900"
105,김치볶음밥,"4,100"
106,스팸 철판볶음밥,"4,900"
107,소불고기 철판볶음밥,"5,100"
108,나시고랭,"6,300"
109,묵은지 김치찌개,"5,000"
110,김치 부대찌개,"6,100"
111,핫 치즈 닭갈비덮밥,"6,000"
112,오리지널 치즈 닭갈비덮밥,"6,000"
113,숯불직화구이 덮밥,"6,000"
114,마파두부 덮밥,"5,000"
115,왕카레돈까스덮밥,"6,100"
116,새우돈까스 덮밥,"4,400"
117,돈까스 덮밥,"4,300"
118,아보카도 소불고기 명란 비빔밥,"6,700"
119,소불고기 감초고추장 비빔밥,"5,600"
120,시골제육 두부강된장 비빔밥,"5,400"
121,참치야채 감초고추장 비빔밥,"3,700"
122,튼튼도시락,"5,200"
123,빅새치마요,"4,700"
124,새치마요,"4,100"
125,메가스팸마요,"5,900"
126,스팸마요,"4,000"
127,메가치킨마요,"6,200"
128,왕치킨마요,"5,100"
129,빅치킨마요,"4,400"
130,치킨마요,"3,800"
131,참치마요,"3,600"
132,돈치마요,"4,100"
133,돈까스 카레,"4,800"
134,잡채볶음밥(중화풍 매운맛),"5,500"
135,잡채볶음밥(오리지널),"5,300"
136,스팸 김치볶음밥,"4,900"
137,김치볶음밥,"4,100"
138,스팸 철판볶음밥,"4,900"
139,소불고기 철판볶음밥,"5,100"
140,나시고랭,"6,300"
141,묵은지 김치찌개,"5,000"
142,김치 부대찌개,"6,100"
143,핫 치즈 닭갈비덮밥,"6,000"
144,오리지널 치즈 닭갈비덮밥,"6,000"
145,숯불직화구이 덮밥,"6,000"
